question,positive1,positive2,positive3,positive4,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6
"In Country C, the unemployment rate among construction workers dropped from 16 percent on September 1, 1992, to 9 percent on September 1, 1996. If the number of construction workers was 20 percent greater on September 1, 1996, than on September 1, 1992, what was the approximate percent change in the number of unemployed construction workers over this period?","In country C, the unemployment rate among construction workers fell from 16 percent on 1 September 1992 to 9 percent on 1 September 1996.If the number of construction workers was 20 percent higher on 1 September 1996 than on 1 September 1992, how did the number of unemployed construction workers change in percentage terms during that period?","In Country C, the unemployment rate among construction workers dropped from 16 percent on September 1, 1992, to 9 percent on September 1, 1996. If the number of construction workers was 20 percent greater on September 1, 1996, than on September 1, 1992, what was the approximate percent change in the number of unemployed construction workers over this period?","In Country C, the unemployment rate among construction workers dropped from one6 percent on September one, oneninenine2, to nine percent on September one, one thousand, nine hundred and ninety-six. If the number of construction workers was twenty percent greater on September one, one thousand, nine hundred and ninety-six, than on September one, oneninenine2, what was the approximate percent change in the number of unemployed construction workers over this period?",,"In Country C, the unemployment rate among dropped from 16 percent on September 1, 1992, to 9 percent on September 1, 1996. If the number of was 20 percent greater on September 1, 1996, than on September 1, 1992, what was the approximate percent change in the number of unemployed over this period?","In Country C, the unemployment rate among construction workers dropped from 16 percent on September 1, 1992, to 9 percent on September 1, 1996.","In Country C, the unemployment rate among recording workers dropped from 16 percent on September 1, 1992, to 9 percent on September 1, 1996. If the number of construction workers was 20 percent greater on September 1, 1996, than on September 1, 1992, what was the approximate percent change in the number of unemployed construction workers over this period?","In Country C, the unemployment rate among construction workers dropped from 16 percent on September 1, 1 2, to percent on September 1, . If the number of construction workers was 20 percent greater on September 1, , than on September 1, 1 2, what was the approximate percent change in the number of unemployed construction workers over this period?","In Country C, the unemployment rate among construction workers dropped from 16 percent on September 1, 1992, to 9 percent on September 1, 1996. If the number of construction workers was 20 percent greater on September 1, 1996, than on September 1, 1992, what was the approximate percent change in the number of unemployed construction workers over this period?","In Country C, the unemployment rate among ounces workers dropped from 16 percent on September 1, 1992, to 9 percent on September 1, 1996. If the number of construction workers was 20 percent greater on September 1, 1996, than on September 1, 1992, what was the approximate percent change in the number of unemployed construction workers over this period?"
"On a map, 1 inch represents 28 miles. How many B inches would be necessary to represent a distance of 383.6 miles?","On a map, 1 inch is 28 miles.How many B-inches would it take to cover a distance of 383.6 miles?","On a map, 1 inch represents 28 miles. How many B inches would be necessary to represent a distance of 383.6 miles?","On a map, one inch represents twenty-eight miles. How many B inches would be necessary to represent a distance of three hundred and eighty-three.six miles?",,"On a map, 1 represents 28 miles. How many B es would be necessary to represent a distance of 383.6 miles?","On a map, 1 inch represents 28 miles.","On a map, 1 inch represents 28 anyone. How many B inches would be necessary to represent a distance of 2candidates.6 miles?","On a map, 1 inch represents miles. How many B inches would be necessary to represent a distance of 383. miles?","On a map, 1 inch represents 28 thanthe. How many B inches would be necessary to represent a distance of 383.6 miles?","On a map, 1 centimetre represents 28 miles. How many B inches would be necessary to represent a distance of 383.6 miles?"
The compound interest on rs.30000 at 7% per annum is Rs.4347. The period is,"The compound interest rate on Rs.30,000 at 7% per year is Rs.4347.The time has passed.",The compound interest on rs.30000 at 7% per annum is Rs.4347. The period is,The compound interest on rs.thirty thousand at seven% per annum is Rs.434seven. The period is,,The on rs.30000 at 7% per annum is Rs.4347. The period is,The compound interest on rs.30000 at 7% per annum is Rs.4347.,The compound interest on rs.30000 at 7% per annum is . The period is,The compound interest on rs. at % per annum is Rs. 434 . The period is,"At 7% per annum, the compound interest is Rs. 4437",The compound interest on rs.graduates at 7% per annum is Rs.yards. The period is
"We have boxes colored either red or blue. In each blue box there is a fixed number of blueberries. In each red box there is a fixed number of strawberries. If we dispose of one blue box for one additional red box, the total number of berries would increase by 30, and the difference between the total number of strawberries and the total number of blueberries would increase by 100. Each blue box contains how many blueberries?",We have boxes in red or blue.Each blue box contains a fixed number of blueberries.Each red box contains a fixed number of strawberries.Dumping a blue box for an extra red box would increase the total number of berries by 30 and the difference between the total number of strawberries and the total number of blueberries would increase by 100.How many blueberries does each blue box contain?,"We have boxes colored either red or blue. In each blue box there is a fixed number of blueberries. In each red box there is a fixed number of strawberries. If we dispose of one blue box for one additional red box, the total number of berries would increase by 30, and the difference between the total number of strawberries and the total number of blueberries would increase by 100. Each blue box contains how many blueberries?","We have boxes colored either red or blue. In each blue box there is a fixed number of blueberries. In each red box there is a fixed number of strawberries. If we dispose of one blue box for one additional red box, the total number of berries would increase by thirty, and the difference between the total number of strawberries and the total number of blueberries would increase by one hundred. Each blue box contains how many blueberries?",,"We have boxes colored either red or . In each box there is a fixed number of berries. In each red box there is a fixed number of strawberries. If we dispose of one box for one additional red box, the total number of berries would increase by 30, and the difference between the total number of strawberries and the total number of berries would increase by 100. Each box contains how many berries?","We have boxes colored either red or blue. In each blue box there is a fixed number of blueberries. In each red box there is a fixed number of strawberries. If we dispose of one blue box for one additional red box, the total number of berries would increase by 30, and the difference between the total number of strawberries and the total number of blueberries would increase by 100.","We have illiteratees colored either red or blue. In each blue box there is a fixed number of accumulated. In each red box there is a fixed number of strawberries. If we dispose of one blue box for one additional red box, the total number of berries would increase by 30, and the difference between the total number of strawberries and the total number of blueberries would increase by 100. Each blue box contains how many blueberries?","We have boxes colored either red or blue. In each blue box there is a fixed number of blueberries. In each red box there is a fixed number of strawberries. If we dispose of blue box for additional red box, the total number of berries would increase by , and the difference between the total number of strawberries and the total number of blueberries would increase by 00. Each blue box contains how many blueberries?","We have grazedes colored either red or blue. In each blue box there is a fixed number of 28a. In each red box there is a fixed number of strawberries. If we dispose of one blue box for one additional red box, the total number of berries would increase by 30, and the difference between the total number of strawberries and the total number of blueberries would increase by 100. Each blue box contains how many blueberries?","We have boxes colored either red or blue. In each blue box there is a fixed number of 5am. In each red box there is a fixed number of strawberries. If we dispose of one blue box for one additional red box, the total number of berries would increase by 30, and the difference between the total number of strawberries and the total number of blueberries would increase by 100. Each blue box contains how many blueberries?"
"A person was asked to state his age in years. His reply was , ""Take my age 3 years hence, multiply it by 3 and subtract 3 times my age 3 years ago and you will know how old I am."" What was the age of the person ?","One person was asked to indicate their age in years.His answer was: ""Take my age of 3, multiply it by 3 and subtract three times my age from 3 years ago, and you will know how old I am.""How old was the person?","A person was asked to state his age in years. His reply was , ""Take my age 3 years hence, multiply it by 3 and subtract 3 times my age 3 years ago and you will know how old I am."" What was the age of the person ?","A person was asked to state his age in years. His reply was , ""Take my age three years hence, multiply it by three and subtract three times my age three years ago and you will know how old I am."" What was the age of the person ?","A person was asked to state his age in years. His reply was, ""Take my age 3 years hence, multiply it by 3 and subtract 3 times my age 3 years ago and you will know how old I am."" What was the age of the person?","A person was asked to state his in years. His reply was , ""Take my 3 years hence, multiply it by 3 and subtract 3 times my 3 years ago and you will know how old I am."" What was the of the person ?","A person was asked to state his age in years. His reply was , ""Take my age 3 years hence, multiply it by 3 and subtract 3 times my age 3 years ago and you will know how old I am.""","A person was asked to state his 270m in years. His reply was , ""Take rbcrbc age 3 years hence, multiply it by 3 and subtract 3 times my age 3 years ago and you will know how old I am."" What was the age of the person ?","A person was asked to state his age in years. His reply was , ""Take my age years hence, multiply it by and subtract times my age years ago and you will know how old I am. "" What was the age of the person?","A person was asked to state his weakened in years. His reply was , ""Take my age 3 years hence, multiply it by 3 and subtract 3 times my age 3 years ago and you will know how old I am."" What was the age of the person ?","A person was asked to state his age in hours. His reply was, ""Take my age 3 years hence, multiply it by 3 and subtract 3 times my age 3 years ago and you will know how old I am."" What was the age of the person?"
The average of 13 numbers is 60. Average of the first 6 of them is 57 and that of the last 8 is 61. Find the 8th number?,The average of 13 numbers is 60thThe average of the first six is 57 and the average of the last eight is 61.Can you find the eighth number?,The average of 13 numbers is 60. Average of the first 6 of them is 57 and that of the last 8 is 61. Find the 8th number?,The average of thirteen numbers is sixty. Average of the first six of them is fifty-seven and that of the last eight is six1. Find the eightth number?,,The average of 13 is 60. Average of the first 6 of them is 57 and that of the last 8 is 61. Find the 8th number?,The average of 13 numbers is 60. Average of the first 6 of them is 57 and that of the last 8 is 61.,The shaylendar of 13 numbers is 60. Average of the first 6 of them is 57 and that of the last 8 is 61. Find the 5376 number?,The average of 13 numbers is . Average of the first of them is 57 and that of the last 8 is 1. Find the 8th number?,The dramatic of 13 numbers is 60. Average of the first 6 of them is 57 and that of the last 8 is 61. Find the review number?,The average of 13 numbers is 60. Average of the first 6 of them is 57 and that of the last 8 is 61. Find the upscale number?
"Ten years ago A was half of B in age. If the ratio of their present ages is 3 : 4, what will be the total of their present ages","Ten years ago, A was half the age of B.If the ratio of their present age is 3: 4, what will the totality of their present age be?","Ten years ago A was half of B in age. If the ratio of their present ages is 3 : 4, what will be the total of their present ages","Ten years ago A was half of B in age. If the ratio of their present ages is three : four, what will be the total of their present ages","Ten years ago A was half of B in age. If the ratio of their present ages is 3: 4, what will be the total of their present ages","Ten years ago A was half of B in . If the ratio of their present s is 3 : 4, what will be the total of their present s",Ten years ago A was half of B in age.,"Ten years ago A was half of B in age. If the ratio of their present ordinary is 3 : 4, what will be the total of their present ages","years ago A was half of B in age. If the ratio of their present ages is : 4, what will be the total of their present ages","Ten years ago A was half of B in age. If the ratio of their earbuds johncan is 3 : 4, what will be the total of their present ages","Ten months ago A was half of B in age. If the ratio of their present ages is 3: 4, what will be the total of their present ages"
"A stick of 30 cm is broken into two pieces, what is the length of the shorter piece if the longer piece is 6 cm longer than the other?","A 30 cm stick is broken into two parts, how long is the shorter piece if the longer piece is 6 cm longer than the other?","A stick of 30 cm is broken into two pieces, what is the length of the shorter piece if the longer piece is 6 cm longer than the other?","A stick of thirty cm is broken into two pieces, what is the length of the shorter piece if the longer piece is six cm longer than the other?","A stick of 30 centimetre is broken into two pieces, what is the length of the shorter piece if the longer piece is 6 cm longer than the other?","A of 30 cm is broken into two pieces, what is the length of the shorter piece if the longer piece is 6 cm longer than the other?","A stick of 30 cm is broken into two pieces, what is the length of the shorter piece if the longer piece is 6 cm longer","A stick of 30 cm is broken into two pieces, what is the length of the shorter piece if the donuts piece is 6 cm longer than the other?","A stick of cm is broken into 2 pieces, what is the length of the shorter piece if the longer piece is cm longer than the other?","A stick of 30 cm is broken into two pieces, but what is the length of one of them?","A stick of 30 mil is broken into two pieces, what is the length of the shorter piece if the longer piece is 6 cm longer than the other?"
A and B together can do a work in 6 days. If A alone can do it in 15 days. In how many days can B alone do it?,A and B together can do one job in 6 days.If only A could do it in 15 days.In how many days can B do it on her own?,A and B together can do a work in 6 days. If A alone can do it in 15 days. In how many days can B alone do it?,A and B together can do a work in six days. If A alone can do it in fifteen days. In how many days can B alone do it?,,A and B together can do a work in 6 . If A alone can do it in 15 . In how many can B alone do it?,A and B together can do a work in 6 days. If A alone can do it in 15 days.,A and B together can havenotpassed a work in 6 4347. If A alone can do it in 15 days. In how many days can B alone do it?,A and B together can do a work in days. If A alone can do it in days. In how many days can B alone do it?,A and B together can impervious a work in 6 chase. If A alone can do it in 15 days. In how many days can B alone do it?,A and B together can do a work in 6 years. If A alone can do it in 15 hours. In how many days can B alone do it?
In how many ways can 5 boys and2 girls be arranged at a table if 2 girls are never together?,"How can 5 boys and 2 girls be arranged at the same table, if 2 girls are never together?",In how many ways can 5 boys and2 girls be arranged at a table if 2 girls are never together?,In how many ways can five boys andtwo girls be arranged at a table if two girls are never together?,,In how many ways can 5 be arranged at a table if 2 girls are never together?,In how many ways can 5 boys and2 girls be arranged at a table if 2 girls,In how many ways can 5 boys diverse girls be arranged at a table if 2 girls are never together?,In how many ways can boys and girls be arranged at a table if girls are never together?,"If 2 girls are never together, how many ways can 5 boys and 2 girls be arranged?",In how many ways can 5 boys correspondent infielder be arranged at a table if 2 girls are never together?
Calculate the distance covered by 150 revolutions of a wheel of radius 20.5 cm.,Calculate the distance travelled at 150 revolutions of a wheel with a radius of 20.5 cm.,Calculate the distance covered by 150 revolutions of a wheel of radius 20.5 cm.,Calculate the distance covered by one hundred and fifty revolutions of a wheel of radius twenty.five cm.,Calculate the distance covered by 150 revolutions of a wheel of radius 20.5 centimetre.,Calculate the distance covered by 150 revolutions of a of radius 20.5 cm.,Calculate the distance covered by 150 revolutions of a wheel of,Calculate the distance covered by 150 inch of a wheel of radius 20.5 cm.,Calculate the distance covered by revolutions of a wheel of radius 20. cm.,The wheel has a radius of 20 cm.,Calculate the distance covered by 150 revolutions of a wheel of radius 20.5 m.
The average age of 3 boys is 15 years and their ages are in the proportion 1:2:3. The age of the youngest boy is?,The average age of three boys is 15 years and their age is 1: 2: 3.How old is the youngest child?,The average age of 3 boys is 15 years and their ages are in the proportion 1:2:3. The age of the youngest boy is?,The average age of three boys is fifteen years and their ages are in the proportion one:two:three. The age of the youngest boy is?,,The average age of 3 is 15 years and their ages are in the proportion 1:2:3. The age of the youngest boy is?,The average age of 3 boys is 15 years and their ages are in the proportion 1:2:3.,The averlettuce age of 3 boys is 15 years and their ages are in the proportion 1:2:3. The age of the ques boy is?,The average age of boys is years and their ages are in the proportion 1:2: . The age of the youngest boy is?,"There are 3 boys with an average age of 15 years, and their ages are 3:1.",The average age of 3 boys is 15 weeks and their ages are in the proportion 1:2:3. The age of the youngest boy is?
"Three partners shared the profit in a business in the ratio 5 : 7 : 8. They had partnered for 14 months, 8 months and 7 months respectively. What was the ratio of their investments?","Three partners shared the profits in a 5: 7: 8 ratio.They had been in a relationship for 14 months, eight months and seven months.What was the ratio of their investment?","Three partners shared the profit in a business in the ratio 5 : 7 : 8. They had partnered for 14 months, 8 months and 7 months respectively. What was the ratio of their investments?","Three partners shared the profit in a business in the ratio five : seven : eight. They had partnered for fourteen months, eight months and seven months respectively. What was the ratio of their investments?","Three partners shared the profit in a business in the ratio 5: 7: 8. They had partnered for 14 months, 8 months and 7 months respectively. What was the ratio of their investments?","Three partners shared the profit in a business in the 5 : 7 : 8. They had partnered for 14 months, 8 months and 7 months respectively. What was the of their investments?","Three partners shared the profit in a business in the ratio 5 : 7 : 8. They had partnered for 14 months, 8 months and 7 months respectively.","Three partners shared the profit in a business in the ratio 5 : 7 : 8. They had partnered for 14 sons, 8 months and 7 months respectively. What was the ratio of their investments?","partners shared the profit in a business in the ratio 5 : : 8. They had partnered for 14 months, 8 months and months respectively. What was the ratio of their investments?","Three partners shared the profit in a business in the ratio 5 : 7 : 8. They had partnered for 14 jacks, 8 months and 7 months respectively. What was the ratio of their investments?","Three partners shared the profit in a business in the ratio 5: 7: 8. They had partnered for 14 days, 8 hour and 7 weeks respectively. What was the ratio of their investments?"
"A motorcycle importer is planning on increasing the price of a certain model by $1000. At this new price 6 fewer motorcycles will be sold per month, but the total revenues will increase by $26,000 to $594,000. What is the number of motorcycles the manufacturer will sell at this new price?","A motorcycle importer plans to raise the price of a certain model by $1000.At this new price, 6 motorcycles will be sold less per month, but the total revenue will rise by $26,000 to $594,000.How many motorcycles will the manufacturer sell at the new price?","A motorcycle importer is planning on increasing the price of a certain model by $1000. At this new price 6 fewer motorcycles will be sold per month, but the total revenues will increase by $26,000 to $594,000. What is the number of motorcycles the manufacturer will sell at this new price?","A motorcycle importer is planning on increasing the price of a certain model by $one thousand. At this new price six fewer motorcycles will be sold per month, but the total revenues will increase by $2six,zero to $five hundred and ninety-four,zero. What is the number of motorcycles the manufacturer will sell at this new price?","A motorcycle importer is planning on increasing the price of a certain model by $ 1000. At this new price 6 fewer motorcycles will be sold per month, but the total revenues will increase by $ 26,000 to $ 594,000. What is the number of motorcycles the manufacturer will sell at this new price?","A is planning on increasing the price of a certain model by $1000. At this new price 6 fewer motorcycles will be sold per month, but the total revenues will increase by $26,000 to $594,000. What is the number of motorcycles the manufacturer will sell at this new price?","A motorcycle importer is planning on increasing the price of a certain model by $1000. At this new price 6 fewer motorcycles will be sold per month, but the total revenues will increase by $26,000 to $594,000.","A motorcycle importer is planning on increasing the price of a certain model by $1000. At this new price 6 fewer 3s will be sold per month, but the total revenues will increase by $26,000 to $594,000. What is the number of motorcycles the manufacturer will sell at this new price?","A motorcycle importer is planning on increasing the price of a certain model by $ . At this new price 6 fewer motorcycles will be sold per month, but the total revenues will increase by $26,000 to $ ,000. What is the number of motorcycles the manufacturer will sell at this new price?","A motorcycle importer is planning on increasing the price of a certain model by $1000. At this new price 6 fewer paperbacks will be sold per month, but the total revenues will increase by $26,000 to $594,000. What is the number of motorcycles the manufacturer will sell at this new price?","A motorcycle importer is planning on increasing the price of a certain model by ₹ 1000. At this new price 6 fewer motorcycles will be sold per month, but the total revenues will increase by $ 26,000 to $ 594,000. What is the number of motorcycles the manufacturer will sell at this new price?"
