question,augmented,label
"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?","Twenty marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another twenty marbles were pulled out, of which one was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?",1
"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?","20 678678 were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?",0
Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct?,"Find the total.of different bicycle numbers.s, which can be formed from 2 letters followed by 2 NO's.How many letters must be distinguished?",1
Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct?,Find the total no. of no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct?,0
"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?","Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?",1
"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?","Of the students in a school, at least 45% attended the prom night and at least % took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?",0
A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?,A sales person gets a 10% commission on each sale he makes. How many sales of $ 250 each must he make in order to reach a salary of at least $ 1000?,1
A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?,A sales person gets a 10% commission on each sale he makes. How many sales of $ each must he make in order to reach a salary of at least $ ?,0
"A company produces 420 units of a particular computer component every month, at a production cost to the company of $110 per component, and sells all of the components by the end of each month. What is the minimum selling price per component that will guarantee that the yearly profit (revenue from sales minus production costs) will be at least $626,400 ?","A company produces 420 units of a particular computer component every month, at a production cost to the company of $ 110 per component, and sells all of the components by the end of each month. What is the minimum selling price per component that will guarantee that the yearly profit (revenue from sales minus production costs) will be at least $ 626,400?",1
"A company produces 420 units of a particular computer component every month, at a production cost to the company of $110 per component, and sells all of the components by the end of each month. What is the minimum selling price per component that will guarantee that the yearly profit (revenue from sales minus production costs) will be at least $626,400 ?","A company produces 420 units of a every month, at a production cost to the company of $110 per component, and sells all of the components by the end of each month. What is the minimum selling price per component that will guarantee that the yearly profit (revenue from sales minus production costs) will be at least $626,400 ?",0
"In how many ways can the letters of the word ""PROBLEC"" be rearranged to make 7 letter words such that none of the letters repeat?","In how many ways can the letters of the word ""PROBLEC"" be rearranged to make seven letter words such that none of the letters repeat?",1
"In how many ways can the letters of the word ""PROBLEC"" be rearranged to make 7 letter words such that none of the letters repeat?","In how many ways can the letters of the word "" "" be rearranged to make 7 letter words such that none of the letters repeat?",0
"Consider there is an staircase elevator and you are coming down. If you walk 20 steps and stop, then you reach bottom in 10 minutes. If you walk 10 steps and stop, you reach to the ground in 20 minutes. What is the speed of the elevator?","Imagine there is a stairlift and you come down.If you take 20 steps and stop, you will reach the ground in 10 minutes.If you take 10 steps and stop, you will reach the ground in 20 minutes.How fast is the lift?",1
"Consider there is an staircase elevator and you are coming down. If you walk 20 steps and stop, then you reach bottom in 10 minutes. If you walk 10 steps and stop, you reach to the ground in 20 minutes. What is the speed of the elevator?","Consider there is an staircase acquire and dwarves are coming down. If you walk 20 steps and stop, then you reach bottom in 10 minutes. If you walk 10 steps and stop, you reach to the ground in 20 minutes. What is the speed of the elevator?",0
"Last year, a Home Appliance Store sold an average(arithmetic mean) of 42 microwave ovens per month. In the first 10 months of this year,the store has sold an average(arithmetic mean) of only 20 microwave ovens per month. What was the average number of microwave ovens sold per month during the entire 22 months period ?","On average last year, a household appliance house sold 42 microwave ovens per month (arithmetic average).In the first 10 months of this year, the store sold an average of just 20 microwave ovens per month (arithmetic average).How many microwave ovens were sold on average per month over the 22-month period?",1
"Last year, a Home Appliance Store sold an average(arithmetic mean) of 42 microwave ovens per month. In the first 10 months of this year,the store has sold an average(arithmetic mean) of only 20 microwave ovens per month. What was the average number of microwave ovens sold per month during the entire 22 months period ?","Last year, a Home Appliance Store sold an average(arithmetic mean) of 42 microwave arrival per month. In the first 10 months of this year,the store has sold an average(arithmetic mean) of only 20 microwave ovens per month. What was the average number of microwave ovens sold per month during the entire 22 months period ?",0
"An exam is given in a certain class. The average (arithmetic mean) of the highest score and the lowest score is equal to x. If the average score for the entire class is equal to y and there are z students in the class, where z > 5, then in terms of x, y, and z, what is the average score for the class excluding the highest and lowest scorers?","An exam is given in a certain class. The average (arithmetic mean) of the highest score and the lowest score is equal to x. If the average score for the entire class is equal to y and there are z students in the class, where z > five, then in terms of x, y, and z, what is the average score for the class excluding the highest and lowest scorers?",1
"An exam is given in a certain class. The average (arithmetic mean) of the highest score and the lowest score is equal to x. If the average score for the entire class is equal to y and there are z students in the class, where z > 5, then in terms of x, y, and z, what is the average score for the class excluding the highest and lowest scorers?","An exam is given in a certain class. The (arithmetic mean) of the highest score and the lowest score is equal to x. If the score for the entire class is equal to y and there are z students in the class, where z > 5, then in terms of x, y, and z, what is the score for the class excluding the highest and lowest scorers?",0
"A grocer makes a 25% profit on the selling price for each bag of flour it sells. If he sells each bag for $100 and makes $3,000 in profit, how many bags did he sell?","A grocer makes a twenty-five% profit on the selling price for each bag of flour it sells. If he sells each bag for $one hundred and makes $three,zero in profit, how many bags did he sell?",1
"A grocer makes a 25% profit on the selling price for each bag of flour it sells. If he sells each bag for $100 and makes $3,000 in profit, how many bags did he sell?","A grocer makes a 25% profit on the selling price for each bag of flour it sells. If he sells each bag for $ and makes $3, in profit, how many bags did he sell?",0
"Alex and Jacob works at a toy shop that make toys. Alex takes 7 hours to make a toy, and Jacob takes 9 hours to make a toy. During a month, both of them makes 35 toys in total. If both of them have worked for almost similar number of hours how many toys have been prepared by Jacob?","Alex and Jacob works at a toy shop that make toys. Alex takes 7 hours to make a toy, and Jacob takes 9 hours to make a toy. During a month, both of them makes 35 toys in total. If both of them have worked for almost similar number of hours how many toys have been prepared by Jacob?",1
"Alex and Jacob works at a toy shop that make toys. Alex takes 7 hours to make a toy, and Jacob takes 9 hours to make a toy. During a month, both of them makes 35 toys in total. If both of them have worked for almost similar number of hours how many toys have been prepared by Jacob?","Alex and Jacob works at a toy shop that make toys. Alex takes 7 to make a toy, and Jacob takes 9 to make a toy. During a month, both of them makes 35 toys in total. If both of them have worked for almost similar number of how many toys have been prepared by Jacob?",0
"John likes to have lightly flavored tea every evening. In a 50% strong milk tea, he replaces 15% of it with milk twice. Then, he replaces 10 percent of the resultant solution with more milk.
What is the final concentration of tea John drinks?","John likes to have lightly flavored tea every evening. In a 50% strong milk tea, he replaces 15% of it with milk twice. Then, he replaces 10 percent of the resultant solution with more milk.
What is the final concentration of tea John drinks?",1
"John likes to have lightly flavored tea every evening. In a 50% strong milk tea, he replaces 15% of it with milk twice. Then, he replaces 10 percent of the resultant solution with more milk.
What is the final concentration of tea John drinks?","John likes to have lightly flavored tea every evening. In a 50% strong milk tea, he replaces 15% of it with milk twice. Then, he replaces 10 percent of the resultant solution with more milk.",0
"On a normal day Bill usually averages about 15 mph when riding his bicycle. On a windy day, his speed is reduced by 4 mph. How far can Bill travel on a windy day in 21 minutes? Round to the nearest hundredth.","On a normal day Bill usually averages about 15 mph when riding his bicycle. On a windy day, his speed is reduced by 4 mph. How far can Bill travel on a windy day in 21 minutes? Round to the nearest hundredth.",1
"On a normal day Bill usually averages about 15 mph when riding his bicycle. On a windy day, his speed is reduced by 4 mph. How far can Bill travel on a windy day in 21 minutes? Round to the nearest hundredth.","On a normal day Bill usually averages about 15 mph when riding his bicycle. On a , his speed is reduced by 4 mph. How far can Bill travel on a in 21 minutes? Round to the nearest hundredth.",0
"A retailer sold an appliance for 40 percent above cost, which represented a gross profit of $20.00. For what price did the retailer sell the appliance?","One dealer sold a device for 40 percent above cost, which equated to a gross profit of $20.00.At what price did the dealer sell the device?",1
"A retailer sold an appliance for 40 percent above cost, which represented a gross profit of $20.00. For what price did the retailer sell the appliance?","A retailer sold an appliance for 40 percent above cost, which represented a gross profit of $20.00.",0
"At 6% per annum simple interest, Rahul borrowed Rs. 500. What amount will he pay to clear the debt after 4 years","At 6% per annum simple interest, Rahul borrowed Rs. 500. What amount will he pay to clear the debt after 4 years",1
"At 6% per annum simple interest, Rahul borrowed Rs. 500. What amount will he pay to clear the debt after 4 years","At 6% per annum simple interest, Rahul borrowed Rs. 500. What will he pay to clear the debt after 4 years",0
"A computer routine was developed to generate two numbers (x,y) the first being a random number between 0 and 100 inclusive, and the second being less than or equal to the square root of the first. Each of the following pair satisfies the routine except","A computer routine was developed to generate two numbers (x,y) the first being a random number between 0 and 100 inclusive, and the second being less than or equal to the square root of the first. Each of the following pair satisfies the routine except",1
"A computer routine was developed to generate two numbers (x,y) the first being a random number between 0 and 100 inclusive, and the second being less than or equal to the square root of the first. Each of the following pair satisfies the routine except","A computer routine was developed to generate two (x,y) the first being a random number between 0 and 100 inclusive, and the second being less than or equal to the square root of the first. Each of the following pair satisfies the routine except",0
"A jeep travels a certain distance taking 6 hours in the forward journey. During the return journey, it increased its speed by 12km/hr and took 4 hours. What is the distance travelled by the jeep?","A jeep travels a certain distance taking six hours in the forward journey. During the return journey, it increased its speed by twelvekm/hr and took four hours. What is the distance travelled by the jeep?",1
"A jeep travels a certain distance taking 6 hours in the forward journey. During the return journey, it increased its speed by 12km/hr and took 4 hours. What is the distance travelled by the jeep?","A jeep travels a certain distance taking 6 hours in the . During the , it increased its speed by 12km/hr and took 4 hours. What is the distance travelled by the jeep?",0
"When I was 2 years old, my brother was half my age. Now I am 60 years old, how old is my brother?","When I was 2 years old, my brother was half my age. Now I am 60 years old, how old is my brother?",1
"When I was 2 years old, my brother was half my age. Now I am 60 years old, how old is my brother?","When I was years old, my brother was half my age. Now I am years old, how old is my brother?",0
"The original retail price of an appliance was 60 percent more than its wholesale cost. If the appliance was actually sold for 20 percent less than the original retail price, then it was sold for what percent more than its wholesale cost?","The original retail price of an appliance was 60 percent more than its wholesale cost. If the appliance was actually sold for 20 percent less than the original retail price, then it was sold for what percent more than its wholesale cost?",1
"The original retail price of an appliance was 60 percent more than its wholesale cost. If the appliance was actually sold for 20 percent less than the original retail price, then it was sold for what percent more than its wholesale cost?","The original retail price of an 25000 was 60 percent more than its rhombus cost. If the appliance was actually sold for 20 percent less than the original retail price, then it was sold for what percent more than its wholesale cost?",0
"On a map, the length of the road from Town F to Town G is measured to be 20 inches. On this map, 1/4 inch represents an actual distance of 10 miles. What is the actual distance, in miles, from Town F to Town G along this road?","On a map, the length of the road from Town F to Town gram is measured to be 20 inches. On this map, 1/4 inch represents an actual distance of 10 miles. What is the actual distance, in miles, from Town F to Town G along this road?",1
"On a map, the length of the road from Town F to Town G is measured to be 20 inches. On this map, 1/4 inch represents an actual distance of 10 miles. What is the actual distance, in miles, from Town F to Town G along this road?","On a map, the length of the road from Town F to Town G is measured to be 20 inches. On this map, 1/4 inch represents an actual distance of 10 miles. What is the actual distance, in miles, from along this road?",0
When folded into two equal halves a rectangular sheet had a perimeter of 48cm for each part folded along one set of sides and the same is 66cm when folded along the other set of sides. Find the area of the sheet.,When folded into two equal halves a rectangular sheet had a perimeter of 48cm for each part folded along one set of sides and the same is 66cm when folded along the other set of sides. Find the area of the sheet.,1
When folded into two equal halves a rectangular sheet had a perimeter of 48cm for each part folded along one set of sides and the same is 66cm when folded along the other set of sides. Find the area of the sheet.,When folded into two equal halves a rectangular sheet had a perimeter of 48km for each part folded along one set of sides and the same is 66cm when folded along the other set of sides. Find the area of the sheet.,0
"Suppose you can travel from a place M to a place N by 3 buses, from place N to place O by 4 buses, from place O to place P by 1 buses and from place P to place Q by 3 buses. In how many ways can you travel from M to Q ?","Suppose you can travel from a place metre to a place N by 3 buses, from place N to place O by 4 buses, from place O to place P by 1 buses and from place P to place Q by 3 buses. In how many ways can you travel from metre to Q?",1
"Suppose you can travel from a place M to a place N by 3 buses, from place N to place O by 4 buses, from place O to place P by 1 buses and from place P to place Q by 3 buses. In how many ways can you travel from M to Q ?","Suppose you can travel from a place m to a place N by 3 buses, from place N to place O by 4 buses, from place O to place P by 1 buses and from place P to place Q by 3 buses. In how many ways can you travel from cm to Q?",0
"A rectangular solid, 3 x 4 x 15, is inscribed in a sphere, so that all eight of its vertices are on the sphere. What is the diameter of the sphere?","A rectangular body, 3 x 4 x 15, is engraved in a sphere so that all eight vertices are on the sphere.How big is the diameter of the sphere?",1
"A rectangular solid, 3 x 4 x 15, is inscribed in a sphere, so that all eight of its vertices are on the sphere. What is the diameter of the sphere?","A , 3 x 4 x 15, is in a sphere, so that all eight of its vertices are on the sphere. What is the diameter of the sphere?",0
"A starts travel towards south 3km, then travel 5 km towards east, and again travels 3 km to north, and finally travels 2km towards west. In the end how far from is A from home?","A starts travel towards south threekm, then travel five km towards east, and again travels three km to north, and finally travels twokm towards west. In the end how far from is A from home?",1
"A starts travel towards south 3km, then travel 5 km towards east, and again travels 3 km to north, and finally travels 2km towards west. In the end how far from is A from home?","A starts travel towards south 3km, then travel km towards east, and again travels 3 km to north, and finally travels km towards west. In the end how far from is A from home?",0
"While selling a watch, a shopkeeper gives a discount of 5%. If he gives a discount of 7%, he earns Rs. 15 less as profit. The marked price of the watch is:","While selling a watch, a shopkeeper gives a discount of five%. If he gives a discount of seven%, he earns Rs. 1five less as profit. The marked price of the watch is:",1
"While selling a watch, a shopkeeper gives a discount of 5%. If he gives a discount of 7%, he earns Rs. 15 less as profit. The marked price of the watch is:","While selling a , a shopkeeper gives a discount of 5%. If he gives a discount of 7%, he earns Rs. 15 less as profit. The marked price of the is:",0
The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales. What should the monthly sales be so that her monthly salary reaches $1500?,The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales. What should the monthly sales be so that her monthly salary reaches $1500?,1
The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales. What should the monthly sales be so that her monthly salary reaches $1500?,The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales.,0
"An aeroplane flies along the four sides of a square at the speeds of 200, 400, 600 and 800km/hr. Find the average speed of the plane around the field?","An aeroplane flies along the four sides of a square at the speeds of 200, 400, 600 and 800kilometre per hour. Find the average speed of the plane around the field?",1
"An aeroplane flies along the four sides of a square at the speeds of 200, 400, 600 and 800km/hr. Find the average speed of the plane around the field?","An along the four sides of a square at the speeds of 200, 400, 600 and . Find the average speed of the plane around the field?",0
Jack buys 18 sharpeners (white and brown) for rs. 100. If he pays 1 rupee more for each white than brown sharpeners. How many of white and how many brown sharpeners did he buy?,Jack buys 18 sharpeners (white and brown) for Rupees. 100. If he pays 1 rupee more for each white than brown sharpeners. How many of white and how many brown sharpeners did he buy?,1
Jack buys 18 sharpeners (white and brown) for rs. 100. If he pays 1 rupee more for each white than brown sharpeners. How many of white and how many brown sharpeners did he buy?,Jack buys 18 sharpeners (white and brown) for rs. 100. If he pays 1 rupee more for each white than brown sharpeners.,0
"Hoses A and B spout water at different constant rates, and hose A can fill a certain pool in 8 hours. Hose A filled the pool alone for the first 2 hours and the two hoses, working together, then finished filling the pool in another 3 hours. How many hours would it have taken hose B, working alone, to fill the entire pool?","Hoses A and B spout water at different constant rates, and hose A can fill a certain pool in eight hours. Hose A filled the pool alone for the first two hours and the two hoses, working together, then finished filling the pool in another three hours. How many hours would it have taken hose B, working alone, to fill the entire pool?",1
"Hoses A and B spout water at different constant rates, and hose A can fill a certain pool in 8 hours. Hose A filled the pool alone for the first 2 hours and the two hoses, working together, then finished filling the pool in another 3 hours. How many hours would it have taken hose B, working alone, to fill the entire pool?","Hoses A and B spout water at different constant rates, and hose A can fill a certain pool in 8 . Hose A filled the pool alone for the first 2 and the two hoses, working together, then finished filling the pool in another 3 . How many would it have taken hose B, working alone, to fill the entire pool?",0
"If 120 is reduced to 96, what is the reduction percent?","If 120 is reduced to 96, then what is the reduction rate?",1
"If 120 is reduced to 96, what is the reduction percent?","If 120 is reduced to 3h, what is the strong percent?",0
"I know a 5 digit number having a property that with a 1 after it, it is three times as large as it would be with a 1 before it.
What is that number?","I know a 5 digit number having a property that with a 1 after it, it is three times as large as it would be with a 1 before it. What is that number?",1
"I know a 5 digit number having a property that with a 1 after it, it is three times as large as it would be with a 1 before it.
What is that number?","I know a 5 digit number having a property that with a 1 after it, it is three times as large as it would be with a 1 before it. What is that number?",0
"At Daifu university, 24% of all students are members of both a chess club and a swim team. If 20% of members of the swim team are not members of the chess club, what percentage of all Daifu students are members of the swim team?","At Daifu University 24% of all students are members of both a chess club and a swimming team.If 20% of the members of the swimming team are not members of the chess club, what percentage of all Daifu pupils are members of the swimming team?",1
"At Daifu university, 24% of all students are members of both a chess club and a swim team. If 20% of members of the swim team are not members of the chess club, what percentage of all Daifu students are members of the swim team?","At Daifu university, % of all students are members of both a chess club and a swim team. If % of members of the swim team are not members of the chess club, what percentage of all Daifu students are members of the swim team?",0
"If the population of a city increases by 5 % annually, what will be the population of the city in 2 years time if its current population is 78000?","If the population of a city increases by 5% annually, what will be the population of the city in 2 years time if its current population is 78000?",1
"If the population of a city increases by 5 % annually, what will be the population of the city in 2 years time if its current population is 78000?","If the population of a city increases by 5% annually, what will be the population of the city in 2 minutes time if its current population is 78000?",0
Two cars start at the same time from opposite ends of a highway that is 50 miles long. One car is riding at 12 mph and the second car is riding at 13 mph. How long after they begin will they meet?,Two cars start at the same time from opposite ends of a highway that is fifty miles long. One car is riding at twelve mph and the second car is riding at thirteen mph. How long after they begin will they meet?,1
Two cars start at the same time from opposite ends of a highway that is 50 miles long. One car is riding at 12 mph and the second car is riding at 13 mph. How long after they begin will they meet?,Two cars start at the same time from opposite ends of a highway that is 50 centimetres long. One car is riding at 12 mph and the second car is riding at 13 mph. How long after they begin will they meet?,0
"A shopkeeper employed a servant at a monthly salary of 1500. In addition to it, he agreed to pay him a commission of 15% on the monthly sale. How much sale in Rupees should the servant do if he wants his monthly income as 6000?","A shopkeeper employed an employee on a monthly salary of 1,500 euros.He also agreed to pay him a 15% commission on the monthly sale.When a servant wants his monthly income to be less than 6000 rupees, how much should he sell?",1
"A shopkeeper employed a servant at a monthly salary of 1500. In addition to it, he agreed to pay him a commission of 15% on the monthly sale. How much sale in Rupees should the servant do if he wants his monthly income as 6000?","A shopkeeper employed a servant at a monthly salary of 1500. In addition to it, he agreed to pay him a commission of 15% on the monthly sale.",0
"A man borrows Rs.360 If he pays it back in 12 monthly installments of Rs.31.50, what is his interest rate?","A man borrows Rs.three hundred and sixty If he pays it back in twelve monthly installments of Rs.thirty-one.fifty, what is his interest rate?",1
"A man borrows Rs.360 If he pays it back in 12 monthly installments of Rs.31.50, what is his interest rate?","A man borrows Rs.360 If he pays it back in 12 monthly installments of Rs.31.50, what is",0
The price of a product is reduced by 30% . By what percentage should it be increased to make it 100%,The price of a product is reduced by 30% . By what percentage should it be increased to make it 100%,1
The price of a product is reduced by 30% . By what percentage should it be increased to make it 100%,The of a product is reduced by 30% . By what percentage should it be increased to make it 100%,0
"I have a money pouch containing Rs. 700. There are equal number of 25 paise coins, 50 paise coins and one rupee coins.
How many of each are there?","I have a money pouch containing Rs. Seven hundred. There are equal number of twenty-five paise coins, fifty paise coins and one rupee coins. How many of each are there?",1
"I have a money pouch containing Rs. 700. There are equal number of 25 paise coins, 50 paise coins and one rupee coins.
How many of each are there?","I have a containing Rs. 700. There are equal number of 25 paise coins, 50 paise coins and one rupee coins. How many of each are there?",0
A man spends Rs. 3500 per month and saves 12 1/2% of his income. His monthly income is ?,"A Man Spends Rs3,500 a month and saves 12 1 / 2% of his income.His monthly income?",1
A man spends Rs. 3500 per month and saves 12 1/2% of his income. His monthly income is ?,A man spends Rs. 3500 per month and saves 12 1/2% of his income.,0
Five dozen toys are packed in a box and 98 boxes are kept in a tempo. How many tempos can lift 29400 toys in one round ?,Five dozen toys are packed in a box and 98 boxes are kept in a tempo. How many tempos can lift 29400 toys in one round ?,1
Five dozen toys are packed in a box and 98 boxes are kept in a tempo. How many tempos can lift 29400 toys in one round ?,5 dozen toys are packed in a box and boxes are kept in a tempo. How many tempos can lift 29400 toys in round?,0
There are 10 oranges in a basket. Find the no. of ways in which 2 oranges are chosen from the basket?,There are 10 oranges in a basket. Find the no. of ways in which 2 oranges are chosen from the basket?,1
There are 10 oranges in a basket. Find the no. of ways in which 2 oranges are chosen from the basket?,There are 10 oranges in a agencies. Find the no. of ways in which 2 oranges are chosen from the basket?,0
A company contracts to paint 3 houses. Mr.Brown can paint a house in 6 days while Mr.Black would take 8 days and Mr.Blue 12 days. After 8 days Mr.Brown goes on vacation and Mr. Black begins to work for a period of 6 days. How many days will it take Mr.Blue to complete the contract?,A company contracts to paint 3 houses. Mr.Brown can paint a house in 6 days while Mr.Black would take 8 days and Mr.Blue 12 days. After 8 days Mr.Brown goes on vacation and Mr. Black begins to work for a period of 6 days. How many days will it take Mr.Blue to complete the contract?,1
A company contracts to paint 3 houses. Mr.Brown can paint a house in 6 days while Mr.Black would take 8 days and Mr.Blue 12 days. After 8 days Mr.Brown goes on vacation and Mr. Black begins to work for a period of 6 days. How many days will it take Mr.Blue to complete the contract?,A company contracts to paint 3 houses. Mr.Brown can paint a house in 6 mins while Mr.Black would take 8 days and Mr.Blue 12 days. After 8 days Mr.Brown goes on vacation and Mr. Black begins to work for a period of 6 days. How many days will it take Mr.Blue to complete the contract?,0
"Train A leaves a station every 16 minutes and Train B leaves every 17 minutes. If both trains just left the station simultaneously, how long until they do so again?","Train A departs every 16 minutes, train B every 17 minutes.So, if both trains have just left, how long will it take for them to do so again?",1
"Train A leaves a station every 16 minutes and Train B leaves every 17 minutes. If both trains just left the station simultaneously, how long until they do so again?","Train A leaves a station every minutes and Train B leaves every minutes. If both trains just left the station simultaneously, how long until they do so again?",0
"A hollow cube of size 5cm is taken, with the thickness of 1cm. It is made of smaller cubes of size 1cm .If the outer surface of the cube is painted how many faces of the smaller cubes remain unpainted?","A hollow cube of size 5centimetre is taken, with the thickness of 1cm. It is made of smaller cubes of size 1cm .If the outer surface of the cube is painted how many faces of the smaller cubes remain unpainted?",1
"A hollow cube of size 5cm is taken, with the thickness of 1cm. It is made of smaller cubes of size 1cm .If the outer surface of the cube is painted how many faces of the smaller cubes remain unpainted?","A hollow cube of size cm is taken, with the thickness of cm. It is made of smaller cubes of size cm. If the outer surface of the cube is painted how many faces of the smaller cubes remain unpainted?",0
"In a chocolate store, all chocolates are either vanilla or cocoa flavored only. 10% of the chocolates are cocoa flavored, 90% of the rest are squashed. What percentage of the chocolates are both vanilla flavored and not squashed?","In a chocolate shop, all the chocolates are either vanilla or cocoa flavoured.10% of the chocolates are cocoa flavoured, 90% of the rest are pressed.What percentage of the chocolates are both vanilla flavoured and uncrushed?",1
"In a chocolate store, all chocolates are either vanilla or cocoa flavored only. 10% of the chocolates are cocoa flavored, 90% of the rest are squashed. What percentage of the chocolates are both vanilla flavored and not squashed?","In a , all chocolates are either vanilla or only. 10% of the chocolates are , 90% of the rest are squashed. What percentage of the chocolates are both vanilla flavored and not squashed?",0
There is well of depth 30m and frog is at bottom of the well. He jumps 3m up one day and falls back 2m down the same day. How many days will it take for the frog to come out of the well?,There is well of depth thirtym and frog is at bottom of the well. He jumps threem up one day and falls back twom down the same day. How many days will it take for the frog to come out of the well?,1
There is well of depth 30m and frog is at bottom of the well. He jumps 3m up one day and falls back 2m down the same day. How many days will it take for the frog to come out of the well?,There is well of and frog is at bottom of the well. He up one day and falls back 2m down the same day. How many days will it take for the frog to come out of the well?,0
"The sum of the 5 consecutive two digit odd numbers when divided by 10 becomes a perfect square, which of the following can be one of these 5 numbers?","The sum of the five consecutive two digit odd numbers when divided by ten becomes a perfect square, which of the following can be one of these five numbers?",1
"The sum of the 5 consecutive two digit odd numbers when divided by 10 becomes a perfect square, which of the following can be one of these 5 numbers?","The sum of the 5 consecutive two digit odd numbers when divided by 10 becomes a perfect square, which of the following can be one of",0
"In a class, 8% of total students are interested in Football. 4/5 of total students are interested in Cricket. 10% of total students are interested in Basketball and remaining 20 students are not interested in any games. How many students are there in the class?","In one class, 8% of all students are interested in football.Four-fifths of the students in total are interested in cricket.10% of the students in total are interested in basketball and the remaining 20 students are not interested in any games.How many students are in class?",1
"In a class, 8% of total students are interested in Football. 4/5 of total students are interested in Cricket. 10% of total students are interested in Basketball and remaining 20 students are not interested in any games. How many students are there in the class?","In a class, 8% of total students are interested in Football. 4/5 of total students are interested in . 10% of total students are interested in and remaining 20 students are not interested in any games. How many students are there in the class?",0
