question,paraphrase,label
Donna made 5 posters. Elizabeth made twice as many posters as Donna. They hung up 7 posters. How many posters do they have left?,Donna made some posters. Elizabeth made twice as many posters as Donna. They hung up many posters. How many posters do they have left?,0
"Karen promised Sara that she would give half of her remaining money to Sara after giving 7/8 of it to her favorite charity. If Karen gave $672 to her favorite charity, how much money will Sara receive?","Karen promised Sara that she would give half of her remaining money to Sara after giving some of it to her favorite charity. If Karen gave Rs.672 to her favorite charity, how much money will Sara receive?",0
Evan lives 20 miles from his best friend's house. He rode his bike 6 miles before he stopped for water. He rode 9 miles and stopped for a snack. How far away is Evan from his friend's house now?,Evan lives 20 kilometres from his best friend's house. He rode his bike 6 miles before he stopped for water. He rode 9 metres and stopped for a snack. How far away is Evan from his friend's house now?,0
"A triangle has the following side lengths: 4 cm, 5 cm and 6 cm. What kind of triangle is it?","The side lengths of a triangle are 4 cm, 5 cm, and 6 cm. The type of the traingle is?",1
Amy spent 4/9 of her money and saved the rest. What fraction of her money did Amy save?,Amy spent some of her money and saved the rest. What fraction of her money did Amy save?,0
J.T. has some superhero trading cards. He lost 14 of them. He gave 19 of them to his best friend. Now he has 45 cards left. How many cards did J.T. have at first?,"J.T. owns a collection of superhero trading cards. He lost 14 of them. He gave 19 of them to his best friend. He's down to 45 cards now. At beginning, how many cards did J.T. have?",1
A group of 12 girls and 8 boys are planning a canoe trip. Each canoe can hold 3 people. How many canoes will the group need?,A group of 12 girls and many boys are planning a canoe trip. Each canoe can hold some people. How many can?,0
There are 56 second graders at Walnut Street School. 22 students just have a dog. 14 students just have a cat. 20 students don't have any pets at all. How many students have a pet?,Walnut Street School has 56 second grade students. Only 22 students have a dog. Only fourteen students own a cat. Twenty students have no pets at all. How many students own a pet?,1
Bridget borrowed 14 books from the library. She returned 8 books and borrowed 4 more. How many books did Bridget have then?,Bridget has 14 books checked out from the library. She returned eight books while borrowing four more. Bridget had how many books at the time?,1
Calvin thinks he runs faster than anyone else in his class. He can run from the school to the oak tree in 47 seconds. It takes Jeremy 58 seconds to run that distance. It takes Gregory 10 seconds more than Jeremy. How many seconds faster is Calvin than Jeremy?,Jeremy is very fast. How many seconds faster is Calvin than Jeremy?,0
Hannah is a professional skater. She practices 8 hours every weekend. She practices 17 more hours than that during the week. How many hours does Hannah practice each week?,Hannah is a professional skater. She practices 8 minutes every weekend. She practices 17 more hours than that during the week. How many hours does Hannah practice each week?,0
Mr. Jackson has a bag of lollipops. He gave 136 lollipops to the second graders. He gave 119 lollipops to the third graders. There are 65 lollipops left. How many lollipops did Mr. Jackson have at first?,Mr. Jackson has a bag of lollipops. He gave 136 lollipops to the second graders. He gave 119 lollipops to the third graders. Are there lollipops left?,0
There are 24 bicycles for sale at Wheelworks. One half of the bicycles are red. Three of the bicycles are black. The rest are blue. How many bicycles are blue?,There are 24 bicycles for sale at Wheelworks. One of the bicycles are red. Three of the bicycles are black. The rest are blue. How many bicycles are blue?,0
19 birds are singing in Tiffany's backyard. 10 more birds join them. How many birds are in Tiffany's yard now?,Tiffany's backyard is alive with the sounds of 19 birds. They are joined by ten additional birds. What is the current number of birds in Tiffany's yard?,1
Cheryl scored 65 points on a computer game. She scored 14 fewer points than Robin. How many points did Robin score?,"On a computer game, Cheryl received 65 points. She came in 14 points behind Robin. What was Robin's point total?",1
Jake collected 64 cans for the recycling center. He collected 11 fewer cans than Hank. How many cans did Hank collect?,Jake collected some cans for the recycling center. He collected many more cans than Hank. How many cans did Hank collect?,0
Grandma is having her 65th birthday today. We put 34 pink candles around the cake. We put 10 yellow candles in the center. How many more candles do we need to put on the cake?,Grandma is having her 65th birthday today. We put 34 pink candles around the cake. How many more candles are needed?,0
There are 36 students in Mr. Al Gebra's math class. 5/6 of the students passed the test. The same number of boys and girls failed the test. 4/9 of the students are girls. How many boys passed the test?,Mr. Al Gebra's math class has 36 kids in it. The test was passed by 5/6 of the pupils. The test was passed by the same amount of boys and girls. 4/9 of the students are girls. How many boys passed the test?,1
Chad bought presents for his mom and dad. His mom's present cost $7. His dad's present cost $8. How much money did Chad spend?,Chad purchased gifts for his mother and father. His mother's gift was $7. His father's gift was $8. What was Chad's total outlay?,1
Ben had 18 marbles and John had 17 marbles. Ben gave half of his marbles to John. How many more marbles did John have than Ben then?,"Ben had 18 marbles, whereas John had 17. Ben handed John half of his marbles. How many more marbles did John have than Ben then?",1
"In Tae Kwon Do class, 40% of the students are boys. There are 18 fewer boys than girls. How many students are in the Tae won Do class altogether?","In Tae Kwon Do class, 40 of the students are boys. There are 18 more boys than girls. How many students are in the Tae won Do class altogether?",0
"Packing school lunches for her kids, Patty used ⅞ of a package of ham. She also used ½ of a package of turkey. How much more ham than turkey did Patty use?",Patty utilised 7/8 of a package of ham when packing school lunches for her children. She also used 1/2 of a turkey packet. How much more ham did Patty use in comparison to turkey?,1
94 students signed up for computer classes. There were 24 second graders and 29 third graders. The rest of the students were fourth graders. How many fourth graders took computer classes?,94 students signed up for computer classes. There were 24 second graders and 29 third graders. How many students took computer class?,0
"A pizza shop has recently sold 15 pizzas. 5 of those pizzas were pepperoni. Answering with a fraction, what is the experimental probability that he next pizza will be pepperoni?","A pizza shop has recently sold some pizzas. Many of those pizzas were pepperoni. Answering with a fraction, what is the experimental probability?",0
Kevin spent 1/2 of his money on a video game. He spent 1/6 of his money on a pen. What fraction of his money did Kevin spend altogether?,Kevin spent 1/2 of his money on a video game. He spent some of his money on a pen. What fraction of his money did Kevin spend altogether?,0
Monica and Ryan shared 18 cookies. Monica ate 1/6 of the cookies. Ryan ate 1/3 of the cookies. How many cookies were left.,Monica and Ryan shared 18 cookies. Monica ate some of the cookies. Ryan ate 1/3 of the cookies. How many cookies were left.,0
The sum of two numbers is 275. One of the numbers is 149. What is the other number?,The sum of two numbers is . One of the numbers is.,0
Today is Jaclyn's birthday. She got 5 cards from friends at school. 3 cards came in the mail. She got 8 more cards from her family. How many cards did Jaclyn get for her birthday?,Jaclyn's birthday is today. She received five cards from classmates. Three cards arrived in the mail. Her relatives sent her eight more cards. How many birthday cards did Jaclyn receive?,1
My ice cream shop was really busy today. It was 98 degrees and we sold 67 ice cream cones. We sold 15 more milkshakes than ice cream cones. How many milkshakes were sold?,My ice cream shop was really busy today. It was 98 degrees and we sold 67 ice cream cones. We sold 15 more milkshakes than ice cream cones. How many milkshakes were sold?,0
Natasha began at 0. She skip-counted by eights. Could she have said the number 36?,Natasha began at 0. She skip-counted by eights. Could she have said the number 36?,1
Gemma had 25.75 grams of frosting to make a cake. She decided to use only 15.5 grams of the frosting. How much frosting does Gemma have left?,"To bake a cake, Gemma had 25.75 gram of icing. She chose to only use 15.5 grams of icing. How much icing does she have left?",1
Alissa and her mom went to see a movie. Tickets cost $8 for adults and $6 for children. They had a coupon for $3 off one ticket. How much did Alissa and her mom have to pay?,"Alissa and her mother went to the theatre to attend a movie. Adult tickets are $8, while children's tickets are $6. They have a $3 off one ticket coupon. How much money did they have to pay?",1
Mr. Larson paid $479 for a television set. He had $126 left. How much money did Mr. Larson have at first?,Mr. Larson bought a television set for $479. He had $126 left. How much money did Mr. Larson have at first?,0
The ratio of boys to girls at the basketball game is 8:5. There are 30 girls. How many more boys are there than girls?,The percentage of boys to girls at the football game is 8:10. There are 60 boys. How many more boys are there than girls?,0
Ben draws a circle inside a square piece of paper whose area is 400 square inches. He makes sure than the circle touches each side of the square. What is the area of the circle?,A circle is drawn by Ben inside a square piece of paper whose area is 400 square inches. He makes sure than the circle touches each side of the square. What is the area of the circle?,1
"The Tasty Treat restaurant has 6 tables and 8 booths. The tables can seat 4 people. The booths can seat 6 people. On Saturday afternoon, every seat if the restaurant was taken. How many people were seated?",There are 6 tables and 8 booths in the Tasty Treat restaurant. The tables may accommodate up to four persons. Six persons can sit in the booths. Every seat in the restaurant was taken on a Saturday afternoon. What was the total number of individuals seated?,1
Sara bought decorations for her party. She paid $5 for balloons and $18 for tablecloths. She also spent $9 for streamers. She paid the cashier and got $8 back. How much money did Sara give to the cashier?,"Sara went out and purchased decorations for her celebration. For balloons, she paid $5 and for tablecloths, she paid $18. She spent $9 on streamers as well. She paid the cashier and received a $8 refund.How much did she give the cashier?",1
"Last week, Whitney counted the number of juice boxes she had for school lunches. She had ⅗ of a case. This week, it’s down to ⅕ of a case. How much of the case did Whitney drink?","Last week, Whitney counted the number of juice boxes she had for school lunches. How much of the case did Whitney drink?",0
Jill saved $184. She saved $45 more than Steve. How much money did Steve save?,Jill saved ₹184. She saved $45 more than Steve. How much money did Steve save?,0
"To make the Leaning Tower of Pisa from spaghetti, Mrs. Robinson bought 2.5 kilograms of spaghetti. Her students were able to make 10 leaning towers in total. How many kilograms of spaghetti does it take to make 1 leaning tower?","To make the Leaning Tower of Pisa from spaghetti, Mrs. Robinson bought 2.5 grams of spaghetti. Her students were able to make 10 leaning towers in total. How many kilograms of spaghetti does it take to make 1 leaning tower?",0
The restaurant has 175 normal chairs and 20 chairs for babies. How many chairs does the restaurant have in total?,There are 175 regular chairs and 20 baby chairs in the restaurant. What is the total number of chairs in the restaurant?,1
"Nick has 20% more video games than Brian. Together, they have 55 video games. How many video games does Brian have?",Nick has 20% more video games than Brian. How many video games does Brian have?,0
"Tim's garden is divided into 3 sections. There are three times as many pepper plants as cucumber plants. There are twice as many tomato plants as pepper plants. If there are 8 cucumber plants, how many tomato plants are there?",Tim's garden is divided into 3 sections. There are many times as many pepper plants as cucumber plants. There are twice as many tomato plants as pepper plants. If there are some cucumber,0
"Zachary collects cans for the recycling club. On the first day, he found 4 cans. On the second day, he found 9 cans. He found 14 cans on the third day. If this pattern continues, how many cans do you think Zachary will find on the seventh day?","Zachary collects cans for the recycling club. On the first day, he found 4 cans. On the second day, he found 9 cans. He found 14 cans on the third day.",0
Alexa and Katerina stood on a scale together. The scale read 95 pounds. Alexa knows she weighs 46 pounds. How much does Katerina weigh?,Alexa and Katerina stood on a scale together. The scale read some pounds. Alexa knows she weighs many pounds. How much does ?,0
Jason had $140 in his wallet. He spent 25% of his money at the bookstore. He then spent 20% of the remainder at Pizza Palace. How much money did Jason have left?,Jason's wallet contained $140. He spent a quarter of his earnings at the bookstore. He subsequently spent 20% of the rest of his money at Pizza Palace. What was Jason's remaining cash?,1
"Gary works at Ghosts and Goblins, a Halloween store.. He puts orange, black, and white Halloween candies in boxes. After he fills a box, 1/4 is orange, 1/6 is black, and 21 are white. How many candies does Boris put in each box?","Gary works at a Halloween store called Ghosts and Goblins. He fills boxes with orange, black, and white Halloween candy. 1/4 is orange, 1/6 is black, and 21 are white when he fills a box. Boris puts how many candies in each box?",1
Lauren and Cathy had the same number of pencils. Lauren gave 3 of her pencils to Cathy. How many more pencils did Cathy have than Lauren then?,Lauren and Cathy had the same number of pencils. Lauren gave many of her pencils to Cathy. How many more?,0
Hockey sticks are on sale. The Sport Store had 680 hockey sticks in the morning. There were only 195 hockey sticks left at the end of the day. How many hockey sticks did they sell?,Hockey sticks are on sale. The Sport Store had 680 hockey sticks in the morning. At the end of the day there were only 195 hockey sticks left . How many hockey sticks did they sell?,0
There were 86 seats in the gym. 32 people sat down to watch the game. 11 people were eating a snack. How many seats were empty?,The gym had a total of 86 seats. The game was seen by 32 people. A snack was being consumed by 11 persons. How many seats were left unoccupied?,1
"Tony is collecting coupons. He found 3 coupons in the newspaper. His mother gave him 6 more. If he gets 5 more coupons, he can get a free radio. How many total coupons does Tony need to get a radio?","Tony is compiling a coupon book. In the newspaper, he discovered 3 coupons. 6 more were given to him by his mother. He can obtain a free radio if he collects 5 more coupons. To get a radio, Tony will need how many coupons in total?",1
The little league stadium has 92 seats. 47 people came to the game today. 38 people were holding banners. How many seats were empty?,The little league stadium has 92 seats. Some people came to the game today. How many seats were empty?,0
Andy had 31 baseball cards. His dad gave him some more. Then Andy had 50 baseball cards. How many baseball cards did Andy get from his dad?,Andy had 61 baseball cards. His dad gave him some many. Then Andy had some baseball cards. How many basketball cards did Andy get from his dad?,0
Mrs. Curran had $410. She bought a sports watch. Now she has $279 left. How much did the sports watch cost?,Mrs. Curran had $410. She went out and bought a sports watch. Now she has $279 left. What was the price of the sports watch?,1
3/4 of the students passed the exam. 8 students failed. How many students passed the exam?,The exam was passed by 3/4 of the pupils. A total of eight students failed the course. How many pupils were successful on the exam?,1
Nathan has a big ant farm. He decided to sell some of his ants. He started with 965 ants. He sold 213. How many ants does he have now?,Nathan decided to sell some of his ants from his ant farm. He initially had 965 ants and sold some of them. How many are left?,0
"Aaron’s candy container is 20 centimetres tall, 10 centimetres long and 10 centimetres wide. Bruce’s container is 25 centimetres tall, 9 centimetres long and 9 centimetres wide. Find the volume of each container. Based on volume, whose container can hold more candy?","Aaron's candy jar measures 20 centimetres in height, 10 centimetres in length, and 10 centimetres in width. Bruce's container has a height of 25 centimetres, a length of 9 centimetres, and a width of 9 centimetres. Determine each container's volume. Which container can hold more candy in terms of volume?",1
The first grade classes are going on a field trip. One class has 25 students. The other class has 21 students. How many first graders are going altogether?,A field excursion is planned for the first grade classes. There are 25 pupils in one class. There are 21 pupils in the other class. How many first-graders are there in total?,1
There will be 26 children at Jessica's party. Her dad is buying one popsicle for each child. Popsicles are sold in packages of 6. How many packages should he buy?,Jessica's celebration will be attended by 26 children. Her father is purchasing one popsicle for each of his children. Popsicles are sold in six-packs. What number of packages should he purchase?,1
There were 38 people waiting in line. 12 of them were children. 10 more people joined the line. How many people were in line then?,There were 38 people waiting in line. 12 of them were children. 10 more people joined the line.,0
Steven and Megan shared some marbles in the ratio 3:4. Megan received 24 marbles. How many marbles did Steven get?,"In a 3:4 ratio, Steven and Megan shared some marbles. Megan was given a total of 24 marbles. What was the total number of marbles Steven received?",1
Kara read 20 pages of her new book on Saturday. She read 1/4 of the remaining pages on Sunday. She still has 36 pages to read. How many pages are in Kara's book?,"On Saturday, Kara read 20 chapters from her new book. On Sunday, she read a quarter of the remaining pages. She still has 36 pages left to read. Kara's book has how many pages?",1
"Lillian is doing some gardening, so she bought 1 kilogram of soil. She wants to spread the soil evenly between her 2 plants. How much will each plant get?","Lillian is doing some gardening, so she bought 1 gram of soil. She wants to spread the soil evenly between her 4 plants. How much will each plant get?",0
The Greene family went to the amusement park. They spent $45 on admission tickets. They spent $13 less than that on food. How much did the Greene family spend in all?,The Greene family went to the amusement park. They spent $45 on admission tickets. They spent 13 cents less than that on food. How much did the Greene family spend in all?,0
A ruler costs 34 cents. Cassidy wants to buy 2 rulers. How much will she pay?,A ruler will set you back 34 cents. Cassidy wishes to purchase two rulers. How much will she be willing to pay?,1
The concert hall has 465 seats. The orchestra had 2 sold out performances. How many people went to the concerts?,The concert hall has 243 seats. The orchera had 2 sold out performances. How many people went to the?,0
Ted and Kristen drove from Westport to Grayson's Park. They drove 179 miles and then stopped for lunch. They drove 142 miles and stopped for gas. They had 59 more miles to go. What is the distance from Westport to Grayson's Park?,Ted and Kristen drove from Westport to Grayson's Park. They drove some miles and then stopped for lunch. They drove many miles and stopped for gas. They had 59 more miles to go. What is the distance from Westport?,0
There were 35 clowns at the circus. 14 clowns did funny tricks. 15 clowns wore polka dot hats. How many clowns did not do funny tricks?,"At the circus, there were 35 clowns. 14 clowns performed amusing tricks. The polka dot caps were worn by 15 clowns. How many clowns did not perform amusing acts?",1
Carl bought 18 stickers. He used 9 of them that afternoon. He used 3 more after dinner. How many stickers did Carl have left?,"Carl purchased a total of 18 stickers. He used 9 of them that afternoon. After supper, he used three more. Carl has how many stickers left?",1
Charlie has 18 chocolate bars to sell for the swim team. He sold 5 last week and 7 this week. How many more chocolate bars does he need to sell?,"Charlie has 18 chocolate bars to sell for the swim team. Last week, he sold five, and this week, he sold seven. How many more chocolate bars does he need to sell?",1
Aaron had 18 cents. He spent 5 cents for a lollipop and 4 cents for a pencil. How much money did Aaron have left?,Aaron had many cents. He spent 5 cents for a lollipop and 4 cents for a pencil.,0
Billy can play 24 songs in his music book. He knows the names of 18 different guitar chords. Billy's music book has 52 songs in it. How many songs does Billy still need to learn?,Billy has 24 songs in his music book that he can play. He can identify 18 distinct guitar chords. Billy's music book has 52 songs in it. How many songs does Billy still need to learn?,1
"Micha’s dad wants to try to save money on gas, so he has been tracking how much he uses. Over the past two years, Micha’s dad used 200 litres of gas. This year, he used 100 litres of gas. How much gas did he use last year?","Micha's father wants to try to save money on gas, so he has been tracking how much he uses. Micha's father has consumed 200 gallons of gas in the last two years. He consumed 100 litres of gas this year. Last year, how much petrol did he consume?",1
"Ernie and Bert went trick-or-treating. They counted their candy when they were done. Ernie said, ""I have double the candy bars you have."" Bert said, ""I only have 6 candy bars."" How many candy bars did Ernie and Bert have together?","Ernie and Bert took their children trick-or-treating. When they were finished, they counted their sweets. ""I have double the candy bars you have,"" Ernie replied. ""I only have six candy bars,"" Bert explained. Ernie and Bert had a total of how many candy bars?",1
What number is 6 tens and 10 ones?,What is 6 tens and 10 ones?,1
Try to imagine a number line in your head. What number is as far away from 4 as it is from 18?,Imagine a number line on a head. What number is as far away from 4,0
"If you have 4 pieces of candy split evenly into 2 bags, how many pieces of candy are in each bag?","If you have 4 evenly into 2 bags, how many pieces of candy are in each bag?",0
There were 24 sailboats and 25 motor boats in the harbor. 13 boats sailed out to sea. How many boats remained in the harbor?,"In the harbour, there were 24 sailboats and 25 motorboats. Out to sea, 13 boats sailed. How many boats remained in the harbor?",1
Jake read 37 pages of his new book. It has 8 chapters and 95 pages. Jake read 25 more pages later that day. How many pages has he read in all?,"Jake finished reading the first 37 pages of his new book. It is divided into eight chapters and has a total of 95 pages. Later that day, Jake read another 25 chapters. In all, how many pages has he read?",1
"During gym class on Wednesday, the students ran for ¼ of a kilometre. On Thursday, they ran ½ as many kilometres as on Wednesday. How many kilometres did the students run on Thursday? Write your answer as a fraction.","On Wednesday, the students ran for 14 kilometres in gym class. They ran 12 times as many kilometres on Thursday as they did on Wednesday. On Thursday, how many kilometres did the students run? Write your answer as a fraction.",1
"There are 8 sailboats and 6 speedboats at the lake. On Saturday, 10 people rented boats for the afternoon. How many boats were not rented?","There are 18 ships and 60 speedboats at the lake. On Saturday, twenty people rented ships for the afternoon. How many were not rented?",0
"If you wake up at 7:00 a.m. and it takes you 1 hour and 30 minutes to get ready and walk to school, at what time will you get to school?","If you wake up at 7:00 a.m. and it takes you 1 hour and 30 seconds to get ready and walk to school, at what time will you get to school?",0
